modelo,best_cv_score_mean,best_cv_score_std,cv_fold_score_0,cv_fold_score_1,cv_fold_score_2,cv_fold_score_3,cv_fold_score_4,wilcoxon_p_value
RandomForest,0.31938,0.00432,0.31676,0.31905,0.32377,0.31291,0.32442,1.0
XGBoost,0.32345,0.0024,0.32322,0.32747,0.32238,0.32013,0.32405,1.0
LogisticRegression,0.23436,0.00517,0.22657,0.23495,0.23292,0.23463,0.24274,0.0625
DecisionTree,0.31517,0.00364,0.32069,0.31513,0.31682,0.30966,0.31353,1.0
KNN,0.30482,0.00312,0.3055,0.30524,0.30935,0.2996,0.30441,0.03125
NaiveBayes,0.22969,0.00704,0.22377,0.23421,0.21954,0.23881,0.23213,1.0
MLP,0.30989,0.00605,0.315,0.31757,0.31096,0.30233,0.30358,0.03125
AdaBoost,0.20011,0.02001,0.18493,0.17179,0.22853,0.21251,0.20281,0.96875
Bagging,0.32974,0.00557,0.33102,0.33563,0.33501,0.32091,0.32611,1.0
SVM,0.11866,0.02733,0.07895,0.11815,0.10138,0.15755,0.13729,1.0
Voting,0.27181,0.00325,0.26665,0.27522,0.27378,0.26937,0.27402,0.03125
Stacking,0.26235,0.00375,0.25666,0.26306,0.26594,0.25961,0.26649,1.0
LightGBM,0.29557,0.00392,0.29413,0.29823,0.29941,0.28857,0.29752,1.0
