modelo,best_cv_score_mean,best_cv_score_std,cv_fold_score_0,cv_fold_score_1,cv_fold_score_2,cv_fold_score_3,cv_fold_score_4,wilcoxon_p_value
RandomForest,0.30519,0.00397,0.29896,0.30826,0.30949,0.30225,0.30702,1.0
XGBoost,0.3032,0.00243,0.30478,0.30143,0.30291,0.29999,0.30688,1.0
LogisticRegression,0.19503,0.0012,0.19434,0.19499,0.19459,0.1939,0.19731,1.0
DecisionTree,0.31006,0.00262,0.31048,0.31152,0.30919,0.30563,0.31346,1.0
KNN,0.29604,0.00302,0.29503,0.29624,0.29831,0.29094,0.29968,0.03125
NaiveBayes,0.20414,0.00713,0.19812,0.20676,0.21186,0.21041,0.19354,1.0
MLP,0.30401,0.00864,0.29979,0.29967,0.30088,0.2985,0.32123,0.03125
AdaBoost,0.18786,0.01776,0.20323,0.16444,0.16789,0.20113,0.2026,1.0
Bagging,0.32408,0.00476,0.32218,0.32027,0.32712,0.31899,0.33182,1.0
SVM,0.10034,0.02775,0.09312,0.09442,0.0845,0.15415,0.0755,1.0
Voting,0.25271,0.00841,0.25443,0.24127,0.25242,0.24848,0.26693,0.84375
Stacking,0.25581,0.00403,0.25109,0.25759,0.25876,0.25096,0.26065,1.0
LightGBM,0.27356,0.00109,0.27371,0.27256,0.27461,0.27208,0.27483,1.0
